company,tender,code,description,kind,unit,qty_awarded,unit_price,total_price
lumar,tender_enf,014.001.004,AGULHA 13/4.5 CX 100,Itens de Enfermagem,CX,300,6.83,2049.00
lumar,tender_enf,014.001.005,AGULHA 25/7 CX 100,Itens de Enfermagem,CX,200,6.83,1366.00
lumar,tender_enf,014.001.007,AGULHA 30/7 100 CX,Itens de Enfermagem,CX,500,6.83,3415.00
lumar,tender_enf,014.001.008,AGULHA 30/8 100 CX,Itens de Enfermagem,CX,500,6.83,3415.00
lumar,tender_enf,014.001.009,AGULHA 40/12 CX 100,Itens de Enfermagem,CX,500,7.799,3899.50
lumar,tender_enf,014.001.010,ALCOOL 70% 1L,Itens de Enfermagem,LT,1000,5.40,5400.00
lumar,tender_enf,014.001.076,ALGODÃO 500 G,Itens de Enfermagem,ROLO,500,13.40,6700.00
lumar,tender_enf,014.001.011,ALMOTOLIA COR ÂMBAR 125 ML,Itens de Enfermagem,UNI,100,2.50,250.00
lumar,tender_enf,014.001.012,ALMOTOLIA TRANSPARENTE 125 ML,Itens de Enfermagem,UNI,100,2.50,250.00
lumar,tender_enf,014.000.502,APARELHO DE PRESSÃO P/OBESO,Itens de Enfermagem,UN,10,77.98,779.80
lumar,tender_enf,013.000.729,BORRIFADOR 500 ML,Itens de Enfermagem,UNI,1000,6.50,6500.00
lumar,tender_enf,023.001.002,CABO DE BISTURI Nº 4,Itens de Enfermagem,UNI,10,7.70,77.00
lumar,tender_enf,023.001.004,CATÉTER NASAL TIPO ÓCULOS (ADULTO),Itens de Enfermagem,UNI,1000,0.87,870.00
lumar,tender_enf,023.001.032,CATÉTER PERIFÉRICO I.V Nº 18,Itens de Enfermagem,UNI,100,0.79,79.00
lumar,tender_enf,014.001.021,CATETER PERIFÉRICO I.V 24,Itens de Enfermagem,UNI,3000,0.94,2820.00
lumar,tender_enf,014.001.023,COLETOR DE URINA E SECREÇÃO TIPO SACO- 2 LITROS C/BARBANTE,Itens de Enfermagem,UNI,5000,0.33,1650.00
lumar,tender_enf,014.001.086,COMPRESSA DE GAZE 7.5 CM/7.5 CM FECHADA 13 FIOS (ESTÉRIL) PCT C/ 10 UNI,Itens de Enfermagem,PCT,100000,0.55,55000.00
lumar,tender_enf,023.001.036,CONJUNTO DE NEBULIZAÇÃO/OXIGÊNIO/ADULTO,Itens de Enfermagem,UNI,100,5.75,575.00
lumar,tender_enf,023.001.037,CONJUNTO DE NEBULIZAÇÃO/OXIGÊNIO/INFANTIL,Itens de Enfermagem,UNI,70,5.75,402.50
lumar,tender_enf,014.001.174,ELETRODO P/ECG,Itens de Enfermagem,UN,200,0.22,44.00
lumar,tender_enf,014.001.029,ESCOVAS CERVICAL GINECOLÓGICA PACOTES COM 100 UNIDADES,Itens de Enfermagem,PCT,30,24.00,720.00
lumar,tender_enf,014.000.521,"ESPARADRAPO 10 CM X 4,5 M",Itens de Enfermagem,UN,1000,8.80,8800.00
lumar,tender_enf,014.000.055,FIO DE NYLON 4.0,Itens de Enfermagem,CX,10,27.99,279.90
lumar,tender_enf,014.001.037,FIO DE NYLON 2.0,Itens de Enfermagem,CX,50,28.60,1430.00
lumar,tender_enf,014.001.038,FIO DE NYLON 3.0,Itens de Enfermagem,CX,50,28.60,1430.00
lumar,tender_enf,014.000.527,GARROTE P/ COLETAS DE SANGUE,Itens de Enfermagem,UN,100,6.42,642.00
lumar,tender_enf,023.001.007,GEL P/ECG FRASCO 100 ML,Itens de Enfermagem,FRC,50,1.54,77.00
lumar,tender_enf,014.000.231,GORRO,Itens de Enfermagem,UNI,10000,0.06,600.00
